epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,262.839,1.27239,0.93352,0.99863,0.26662,0.000277564,0.000277564,0.000277564
2,448.814,0.63138,0.95559,0.99875,0.19579,0.000500263,0.000500263,0.000500263
3,627.464,0.4851,0.96482,0.99975,0.14498,0.000667984,0.000667984,0.000667984
4,803.709,0.38492,0.97555,0.99938,0.10261,0.000585599,0.000585599,0.000585599
5,980.28,0.31017,0.97717,0.99988,0.10471,0.000503132,0.000503132,0.000503132
6,1156.61,0.26699,0.98391,0.99963,0.07999,0.000420665,0.000420665,0.000420665
7,1333.38,0.22843,0.98403,0.99988,0.06253,0.000338198,0.000338198,0.000338198
8,1529.53,0.20476,0.98229,0.99975,0.06734,0.000255731,0.000255731,0.000255731
9,1706.75,0.19037,0.98578,0.99975,0.06545,0.000173264,0.000173264,0.000173264
10,1884.64,0.17035,0.98503,0.99975,0.06117,9.0797e-05,9.0797e-05,9.0797e-05
