epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,87.047,0.64567,0.96333,1,0.11162,0.00066464,0.00066464,0.0674326
2,174.361,0.268,0.97833,0.99833,0.07231,0.00132319,0.00132319,0.0347578
3,260.993,0.22089,0.96833,0.99833,0.09125,0.00194957,0.00194957,0.00205089
4,347.517,0.1902,0.97667,0.99833,0.08941,0.0018921,0.0018921,0.0018921
5,434.338,0.15067,0.985,1,0.05496,0.00181093,0.00181093,0.00181093
6,521.015,0.15077,0.99167,1,0.04808,0.00171004,0.00171004,0.00171004
7,607.583,0.13172,0.99,1,0.04398,0.00159191,0.00159191,0.00159191
8,695.356,0.13235,0.99167,0.99833,0.03606,0.00145945,0.00145945,0.00145945
9,782.152,0.11509,0.99333,1,0.01847,0.00131593,0.00131593,0.00131593
10,869.008,0.10313,0.99167,1,0.02881,0.00116487,0.00116487,0.00116487
11,956.011,0.09402,0.99667,1,0.01051,0.00101,0.00101,0.00101
12,1042.71,0.10291,0.99167,1,0.01852,0.00085513,0.00085513,0.00085513
13,1129.36,0.07966,0.995,1,0.01405,0.000704073,0.000704073,0.000704073
14,1223.89,0.07109,0.99667,1,0.01678,0.000560549,0.000560549,0.000560549
15,1310.73,0.0753,0.99833,1,0.00744,0.000428093,0.000428093,0.000428093
16,1397.05,0.06603,0.99833,1,0.01,0.000309964,0.000309964,0.000309964
17,1483.83,0.05732,0.99667,1,0.01168,0.000209073,0.000209073,0.000209073
18,1570.24,0.05486,0.99833,1,0.00594,0.000127904,0.000127904,0.000127904
19,1656.88,0.05345,0.99667,1,0.00651,6.8454e-05,6.8454e-05,6.8454e-05
20,1743.27,0.05454,0.99667,1,0.00574,3.21885e-05,3.21885e-05,3.21885e-05
